,channelGrouping,date,device_browser,device_deviceCategory,device_isMobile,device_operatingSystem,fullVisitorId,geoNetwork_city,geoNetwork_continent,geoNetwork_country,geoNetwork_metro,geoNetwork_networkDomain,geoNetwork_region,geoNetwork_subContinent,sessionId,totals_bounces,totals_hits,totals_newVisits,totals_pageviews,totals_transactionRevenue,trafficSource_adContent,trafficSource_campaignCode,trafficSource_isTrueDirect,trafficSource_keyword,trafficSource_medium,trafficSource_referralPath,trafficSource_source,tsadclick_adNetworkType,tsadclick_gclId,tsadclick_isVideoAd,tsadclick_page,tsadclick_slot,visitId,visitNumber,visitStartTime
70147,Referral,20161209,Chrome,desktop,FALSE,Linux,2.59E+18,Cambridge,Americas,United States,Boston MA-Manchester NH,,Massachusetts,Northern America,2586051974603380942_1481305095,,21,,17,30260000,,,,,referral,/,mall.googleplex.com,,,,,,1481305095,3,1481305095
70149,Referral,20161209,Chrome,desktop,FALSE,Macintosh,6.54E+18,San Francisco,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,6539054271579803553_1481309624,,21,,17,64760000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1481309624,5,1481309624
70156,Referral,20161209,Chrome,desktop,FALSE,Linux,6.09E+18,Mountain View,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,6086392386521152841_1481315088,,22,,16,79970000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1481315088,2,1481315088
70165,Organic Search,20161209,Chrome,desktop,FALSE,Chrome OS,5.85E+18,,Americas,United States,,,,Northern America,5849605114063721610_1481313347,,23,1,19,47800000,,,,,organic,,google,,,,,,1481313347,1,1481313347
70180,Direct,20161209,Chrome,desktop,FALSE,Linux,1.44E+18,Mountain View,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,1439158050159704708_1481307670,,24,1,21,15990000,,,TRUE,,(none),,(direct),,,,,,1481307670,1,1481307670
70183,Referral,20161209,Chrome,desktop,FALSE,Macintosh,1.90E+18,New York,Americas,United States,New York NY,,New York,Northern America,1900898927258752827_1481319216,,25,1,20,28780000,,,,,referral,/,mall.googleplex.com,,,,,,1481319216,1,1481319216
70185,Referral,20161209,Chrome,desktop,FALSE,Macintosh,3.56E+18,New York,Americas,United States,New York NY,,New York,Northern America,3555404487376101016_1481318595,,25,,19,44790000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1481318595,4,1481318595
70186,Direct,20161209,Chrome,mobile,TRUE,Android,2.71E+18,,Americas,United States,,bhn.net,,Northern America,2712138254756572869_1481313113,,25,,18,350000000,,,TRUE,,(none),,(direct),,,,,,1481313113,2,1481313113
70193,Referral,20161209,Chrome,desktop,FALSE,Macintosh,8.48E+18,Cambridge,Americas,United States,Boston MA-Manchester NH,,Massachusetts,Northern America,8479157276312488883_1481311641,,27,,22,39980000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1481311641,7,1481311641
70195,Paid Search,20161209,Chrome,desktop,FALSE,Chrome OS,4.38E+17,Sunnyvale,Americas,United States,San Francisco-Oakland-San Jose CA,comcast.net,California,Northern America,438364665131336868_1481341356,,28,,24,33980000,,,,6qEhsCssdK0z36ri,cpc,,google,Google Search,CjwKEAiAyanCBRDkiO6M_rDroH0SJAAfZ4KLfEIiYWMsYjoCZYYgFwM-nh4IuXJVUNkg79t1xnx3hRoCbGrw_wcB,FALSE,1,Top,1481341356,2,1481341356
70196,Organic Search,20161209,Chrome,desktop,FALSE,Windows,5.70E+18,Jersey City,Americas,United States,New York NY,verizon.net,New Jersey,Northern America,5704821890864354463_1481311058,,28,1,23,55990000,,,,,organic,,google,,,,,,1481311058,1,1481311058
70199,Referral,20161209,Chrome,desktop,FALSE,Windows,7.34E+18,Chicago,Americas,United States,Chicago IL,comcast.net,Illinois,Northern America,7344052172589114599_1481325142,,28,,25,55990000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1481325142,4,1481325142
70203,Referral,20161209,Chrome,desktop,FALSE,Macintosh,6.36E+18,New York,Americas,United States,New York NY,,New York,Northern America,6358287541607688443_1481298804,,29,,21,46290000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1481298804,2,1481298804
70205,Referral,20161209,Chrome,desktop,FALSE,Macintosh,8.64E+16,Chicago,Americas,United States,Chicago IL,,Illinois,Northern America,86439549065030167_1481303313,,30,1,25,39950000,,,,,referral,/,mall.googleplex.com,,,,,,1481303313,1,1481303313
70208,Direct,20161209,Chrome,desktop,FALSE,Windows,5.57E+18,Chicago,Americas,United States,Chicago IL,,Illinois,Northern America,5573862232372120211_1481321041,,32,,24,16730000,,,TRUE,,(none),,(direct),,,,,,1481321041,6,1481321041
70209,Referral,20161209,Chrome,desktop,FALSE,Windows,3.73E+17,Nashville,Americas,United States,Nashville TN,,Tennessee,Northern America,372706149688864468_1481315897,,32,,26,1355000000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1481315897,4,1481315897
70214,Organic Search,20161209,Chrome,mobile,TRUE,Android,6.46E+17,,Americas,United States,,comcast.net,,Northern America,646337888671074736_1481289198,,33,1,30,79960000,,,,,organic,,google,,,,,,1481289198,1,1481289198
70215,Paid Search,20161209,Chrome,desktop,FALSE,Linux,9.09E+18,San Jose,Americas,United States,San Francisco-Oakland-San Jose CA,comcast.net,California,Northern America,9088228363013905444_1481279739,,33,1,29,95990000,,,,6qEhsCssdK0z36ri,cpc,,google,Google Search,CjwKEAiAyanCBRDkiO6M_rDroH0SJAAfZ4KLsks_SFKIgLnRXA2iFg1EN_NytqgwRBcDXmTx1VQ2zxoCSQTw_wcB,FALSE,1,Top,1481279739,1,1481279739
70216,Organic Search,20161209,Chrome,desktop,FALSE,Macintosh,7.19E+18,Mexico City,Americas,Mexico,,,Mexico City,Central America,7190366246319919792_1481307617,,33,,29,50970000,,,TRUE,,organic,,google,,,,,,1481307617,4,1481307617
70217,Referral,20161209,Chrome,desktop,FALSE,Macintosh,5.63E+18,,Americas,United States,,unknown.unknown,,Northern America,5626842040347507699_1481342995,,33,1,25,39180000,,,,,referral,/,mall.googleplex.com,,,,,,1481342995,1,1481342995
70221,Referral,20161209,Chrome,desktop,FALSE,Macintosh,9.11E+18,Mountain View,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,9113941842423951510_1481323435,,34,,30,61590000,,,,,referral,/mail/u/0/,mail.google.com,,,,,,1481323435,3,1481323435
70223,Organic Search,20161209,Chrome,desktop,FALSE,Windows,8.67E+18,,Americas,United States,,comcast.net,,Northern America,8670467728578251460_1481325665,,36,,31,40950000,,,,,organic,,google,,,,,,1481325665,2,1481325665
70224,Referral,20161209,Chrome,desktop,FALSE,Macintosh,8.04E+18,Mountain View,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,8038666867803422742_1481271229,,36,,29,17590000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1481271229,2,1481271229
70227,Referral,20161209,Chrome,desktop,FALSE,Macintosh,4.66E+18,Mountain View,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,4656013451214852982_1481308412,,36,,27,60750000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1481308412,4,1481308412
70231,Referral,20161209,Chrome,desktop,FALSE,Chrome OS,7.68E+18,Santa Clara,Americas,United States,San Francisco-Oakland-San Jose CA,comcast.net,California,Northern America,7680759434454622438_1481334736,,37,1,35,30000000,,,,,referral,/,mall.googleplex.com,,,,,,1481334736,1,1481334736
70232,Organic Search,20161209,Chrome,desktop,FALSE,Windows,5.39E+18,,Americas,United States,,rr.com,,Northern America,5389570211397748919_1481341082,,37,1,34,25960000,,,,,organic,,google,,,,,,1481341082,1,1481341082
70236,Organic Search,20161209,Chrome,desktop,FALSE,Macintosh,9.97E+18,San Francisco,Americas,United States,San Francisco-Oakland-San Jose CA,comcast.net,California,Northern America,9972597816595372004_1481326958,,39,1,35,58980000,,,,,organic,,google,,,,,,1481326958,1,1481326958
70238,Paid Search,20161209,Chrome,tablet,TRUE,iOS,3.12E+18,,Americas,United States,,,,Northern America,3115733553962265395_1481339276,,39,,31,163930000,,,TRUE,1hZbAqLCbjwfgOH7,cpc,,google,Google Search,CjwKEAiAg5_CBRDo4o6e4o3NtG0SJAB-IatYXBAYgFg8NK3p_WIV0IY2ps5BVqPgm7G2eW4TQQWxthoCuI_w_wcB,FALSE,1,Top,1481339276,3,1481339276
70239,Direct,20161209,Chrome,desktop,FALSE,Macintosh,1.72E+18,,Americas,United States,,,,Northern America,1720006022504089919_1481339922,,42,,35,139960000,,,TRUE,,(none),,(direct),,,,,,1481339922,38,1481339922
70241,Referral,20161209,Chrome,desktop,FALSE,Macintosh,7.93E+18,San Francisco,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,7930995706732204088_1481307198,,43,1,33,75910000,,,,,referral,/,mall.googleplex.com,,,,,,1481307198,1,1481307198
70247,Referral,20161209,Chrome,desktop,FALSE,Windows,4.03E+18,New York,Americas,United States,New York NY,,New York,Northern America,4033655615670436076_1481320622,,46,,35,53580000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1481320622,5,1481320622
70248,Organic Search,20161209,Chrome,desktop,FALSE,Windows,5.90E+18,,Americas,United States,,knology.net,,Northern America,5901766721898280376_1481304109,,47,1,33,19980000,,,,,organic,,google,,,,,,1481304109,1,1481304109
70249,Organic Search,20161209,Chrome,desktop,FALSE,Macintosh,6.89E+18,Palo Alto,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,6886733039051258034_1481355498,,47,,37,59950000,,,,,organic,,google,,,,,,1481355498,2,1481355498
70250,Referral,20161209,Chrome,desktop,FALSE,Macintosh,3.00E+18,New York,Americas,United States,New York NY,,New York,Northern America,2996634924605422083_1481320396,,48,1,36,110380000,,,,,referral,/,mall.googleplex.com,,,,,,1481320396,1,1481320396
70251,Direct,20161209,Chrome,desktop,FALSE,Chrome OS,6.88E+18,Salt Lake City,Americas,United States,Salt Lake City UT,qwest.net,Utah,Northern America,6877000758509218039_1481349453,,48,1,39,43970000,,,TRUE,,(none),,(direct),,,,,,1481349453,1,1481349453
70252,Display,20161209,Chrome,desktop,FALSE,Macintosh,7.40E+17,New York,Americas,United States,New York NY,,New York,Northern America,740013212735960815_1481319664,,48,,36,115880000,,,TRUE,,cpm,,dfa,,,,,,1481319664,5,1481319664
70253,Organic Search,20161209,Chrome,desktop,FALSE,Macintosh,6.12E+18,San Francisco,Americas,United States,San Francisco-Oakland-San Jose CA,comcast.net,California,Northern America,6116451045080877616_1481325635,,49,1,39,126970000,,,,,organic,,google,,,,,,1481325635,1,1481325635
70254,Referral,20161209,Chrome,desktop,FALSE,Macintosh,5.75E+18,Santa Clara,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,5747990905511584859_1481314102,,49,1,37,79140000,,,,,referral,/,mall.googleplex.com,,,,,,1481314102,1,1481314102
70258,Organic Search,20161209,Chrome,desktop,FALSE,Windows,2.24E+18,Washington,Americas,United States,Washington DC (Hagerstown MD),,District of Columbia,Northern America,2241578867926472295_1481293032,,56,,39,109540000,,,TRUE,,organic,,google,,,,,,1481293032,5,1481293032
70259,Organic Search,20161209,Chrome,desktop,FALSE,Macintosh,7.87E+18,New York,Americas,United States,New York NY,,New York,Northern America,7866911767663069733_1481312908,,58,1,45,249490000,,,,,organic,,google,,,,,,1481312908,1,1481312908
70262,Referral,20161209,Chrome,desktop,FALSE,Chrome OS,4.99E+17,San Francisco,Americas,United States,San Francisco-Oakland-San Jose CA,monkeybrains.net,California,Northern America,0499173638332659780_1481306484,,60,,46,157150000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1481306484,5,1481306484
70263,Referral,20161209,Chrome,desktop,FALSE,Macintosh,1.93E+18,,Americas,Puerto Rico,,prtc.net,,Caribbean,1927175312147751345_1481324085,,61,,51,44970000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1481324085,4,1481324085
70266,Referral,20161209,Chrome,desktop,FALSE,Macintosh,9.94E+18,Jersey City,Asia,India,New York NY,unknown.unknown,New Jersey,Southern Asia,9935363478089463685_1481281048,,64,,42,187890000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1481281048,2,1481281048
70269,Referral,20161209,Chrome,desktop,FALSE,Linux,6.22E+18,Mountain View,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,6218917791895202821_1481316179,,74,,51,57560000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1481316179,2,1481316179
70272,Referral,20161209,Chrome,desktop,FALSE,Macintosh,6.43E+17,Washington,Americas,United States,Washington DC (Hagerstown MD),,District of Columbia,Northern America,0642830728760694475_1481301040,,85,,60,58730000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1481301040,7,1481301040
70274,Referral,20161209,Chrome,desktop,FALSE,Macintosh,1.92E+17,Mountain View,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,191995188120830505_1481326135,,99,,75,39950000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1481326135,2,1481326135
70278,Organic Search,20161209,Chrome,mobile,TRUE,Android,5.60E+18,,Americas,United States,,,,Northern America,5604492161936602744_1481317525,,110,,84,168730000,,,TRUE,,organic,,google,,,,,,1481317525,14,1481317525
70282,Direct,20161209,Chrome,desktop,FALSE,Windows,8.20E+16,,Americas,United States,,pwcs.edu,,Northern America,081985686030532619_1481306198,,196,,143,342620000,,,TRUE,,(none),,(direct),,,,,,1481306198,3,1481306198
70677,Social,20161209,Chrome,desktop,FALSE,Macintosh,1.35E+17,,Americas,United States,,rr.com,,Northern America,0135432212707864703_1481331493,,18,,14,35980000,,,TRUE,,referral,/,pinterest.com,,,,,,1481331493,2,1481331493
70911,Paid Search,20160917,Chrome,desktop,FALSE,Macintosh,5.38E+18,,Americas,United States,,bhn.net,,Northern America,5375717438017990161_1474138426,,12,,12,23970000,,,,6qEhsCssdK0z36ri,cpc,,google,Google Search,Cj0KEQjw0_O-BRCfjsCw25CYzYoBEiQAqO9BDO7F9QB-dpMPYOTsRg6orgiFJJ0x7Sn6g_TQNxrER1MaAkRY8P8HAQ,FALSE,1,Top,1474138426,3,1474138426
70972,Referral,20160917,Chrome,desktop,FALSE,Macintosh,8.90E+18,,Americas,United States,,,,Northern America,8896354517270377478_1474144603,,17,,13,18990000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1474144603,2,1474144603
71024,Referral,20160917,Safari,tablet,TRUE,iOS,2.57E+17,,Americas,United States,,rr.com,,Northern America,256970382442076470_1474125241,,26,,24,18990000,,,TRUE,,referral,/,trainup.withgoogle.com,,,,,,1474125241,2,1474125241
71052,Organic Search,20160917,Chrome,desktop,FALSE,Macintosh,9.60E+18,,Americas,United States,,ohiou.edu,,Northern America,9602340005188195003_1474140633,,36,1,28,33980000,,,,,organic,,google,,,,,,1474140633,1,1474140633
71054,Organic Search,20160917,Chrome,mobile,TRUE,Android,8.73E+18,Charlotte,Americas,United States,Charlotte NC,,North Carolina,Northern America,8733093827821835870_1474110388,,37,,29,4990000,,,TRUE,,organic,,google,,,,,,1474110388,4,1474110388
71062,Paid Search,20160917,Safari,mobile,TRUE,iOS,9.55E+18,,Americas,United States,,,,Northern America,9552836893396913614_1474141892,,42,1,29,21000000,,,,6qEhsCssdK0z36ri,cpc,,google,Google Search,Cj0KEQjw0_O-BRCfjsCw25CYzYoBEiQAqO9BDPj-hi0fYWgzGcWeZXjwtEwewvVzqCpBwoiQMtxtdPgaAjyE8P8HAQ,FALSE,1,Top,1474141892,1,1474141892
71069,Referral,20160917,Chrome,desktop,FALSE,Macintosh,5.41E+18,Mountain View,Americas,United States,San Francisco-Oakland-San Jose CA,sbcglobal.net,California,Northern America,5409062916318934931_1474131542,,47,,34,13170000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1474131542,4,1474131542
71075,Referral,20160917,Chrome,desktop,FALSE,Chrome OS,4.89E+18,San Francisco,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,4892080789302426968_1474133021,,53,1,44,19990000,,,,,referral,/,mall.googleplex.com,,,,,,1474133021,1,1474133021
73820,Referral,20170617,Chrome,desktop,FALSE,Macintosh,6.82E+18,,Americas,United States,,comcast.net,,Northern America,6820200829240883942_1497713553,,12,,11,59990000,,,,,referral,/,mall.googleplex.com,,,,,,1497713553,10,1497713553
73835,Organic Search,20170617,Chrome,desktop,FALSE,Windows,5.43E+17,,Americas,United States,,verizon.net,,Northern America,543133542685191215_1497752780,,13,1,12,19950000,,,,,organic,,google,,,,,,1497752780,1,1497752780
73843,Organic Search,20170617,Chrome,desktop,FALSE,Macintosh,8.16E+18,New York,Americas,United States,New York NY,,New York,Northern America,8155859003876028076_1497750718,,14,1,14,16990000,,,,,organic,,google,,,,,,1497750718,1,1497750718
73856,Organic Search,20170617,Chrome,desktop,FALSE,Windows,9.72E+18,,Americas,United States,,,,Northern America,9717690429113938490_1497733039,,17,,13,3500000,,,TRUE,,organic,,google,,,,,,1497733039,2,1497733039
73858,Referral,20170617,Chrome,desktop,FALSE,Macintosh,6.62E+18,,Americas,United States,,cox.net,,Northern America,6616892388883131353_1497745554,,17,,14,30390000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1497745554,3,1497745554
73859,Organic Search,20170617,Chrome,desktop,FALSE,Macintosh,8.40E+18,New York,Americas,United States,New York NY,,New York,Northern America,8403870234646174771_1497710763,,18,1,16,13590000,,,,,organic,,google,,,,,,1497710763,1,1497710763
73862,Referral,20170617,Chrome,desktop,FALSE,Macintosh,2.81E+18,San Francisco,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,2805355288930230044_1497752264,,18,,15,44790000,,,,,referral,/,mall.googleplex.com,,,,,,1497752264,5,1497752264
73871,Referral,20170617,Chrome,desktop,FALSE,Macintosh,2.38E+18,,Americas,United States,,comcast.net,,Northern America,2376144863648346076_1497764532,,20,,18,39410000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1497764532,2,1497764532
73877,Paid Search,20170617,Safari,mobile,TRUE,iOS,2.58E+18,,Americas,United States,,,,Northern America,2584325239090818797_1497745953,,21,1,18,10990000,Swag with Google Logos,,,#NAME?,cpc,,google,Google Search,CN3pta-SxtQCFUSRfgodW74OIg,FALSE,1,Top,1497745953,1,1497745953
73878,Organic Search,20170617,Chrome,desktop,FALSE,Macintosh,4.71E+18,,Americas,United States,,rr.com,,Northern America,4712475837504946789_1497709418,,21,,19,59940000,,,TRUE,,organic,,google,,,,,,1497709418,2,1497709418
73879,Organic Search,20170617,Safari,tablet,TRUE,iOS,8.14E+18,,Americas,United States,,,,Northern America,8135224127864726768_1497698178,,21,1,20,39990000,,,,,organic,,google,,,,,,1497698178,1,1497698178
73880,Referral,20170617,Chrome,desktop,FALSE,Macintosh,5.44E+18,Redmond,Americas,United States,Seattle-Tacoma WA,unknown.unknown,Washington,Northern America,5438973470974624883_1497742145,,22,1,21,71460000,,,,,referral,/,mall.googleplex.com,,,,,,1497742145,1,1497742145
73892,Organic Search,20170617,Chrome,desktop,FALSE,Windows,9.61E+18,,Americas,United States,,,,Northern America,9610282033684440542_1497734009,,27,1,22,24280000,,,,,organic,,google,,,,,,1497734009,1,1497734009
73897,Referral,20170617,Chrome,desktop,FALSE,Macintosh,7.70E+18,Mountain View,Americas,United States,San Francisco-Oakland-San Jose CA,comcast.net,California,Northern America,7697210138804043868_1497725812,,30,,19,62430000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1497725812,7,1497725812
73899,Referral,20170617,Chrome,desktop,FALSE,Windows,1.40E+18,,Americas,Canada,,ubc.ca,,Northern America,1401438949602297317_1497726713,,31,,27,71950000,,,,,referral,/google-merchandise-store,dealspotr.com,,,,,,1497726713,3,1497726713
73909,Referral,20170617,Chrome,desktop,FALSE,Chrome OS,9.80E+18,San Jose,Americas,United States,San Francisco-Oakland-San Jose CA,comcast.net,California,Northern America,9801630253390309535_1497766462,,44,,36,41810000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1497766462,4,1497766462
73912,Organic Search,20170617,Chrome,desktop,FALSE,Macintosh,3.95E+18,New York,Americas,United States,New York NY,,New York,Northern America,3948936105865802619_1497737383,,51,1,47,1271190000,,,,,organic,,google,,,,,,1497737383,1,1497737383
73913,Paid Search,20170617,Firefox,desktop,FALSE,Macintosh,9.23E+18,,Americas,United States,,,,Northern America,9226278380512438191_1497707352,,59,1,39,27930000,{KeyWord:Google Branded Gear},,,#NAME?,cpc,,google,Google Search,CO7ksc-CxdQCFQK4wAodUJ4EKA,FALSE,1,Top,1497707352,1,1497707352
76048,Direct,20161216,Chrome,tablet,TRUE,Android,4.27E+18,,Americas,United States,,sbcglobal.net,,Northern America,4267209767907289538_1481928497,,8,,8,3980000,,,TRUE,,(none),,(direct),,,,,,1481928497,2,1481928497
76116,Organic Search,20161216,Safari,mobile,TRUE,iOS,8.58E+18,San Jose,Americas,United States,San Francisco-Oakland-San Jose CA,sbcglobal.net,California,Northern America,8579755621948479912_1481944367,,9,,9,118970000,,,TRUE,,organic,,google,,,,,,1481944367,2,1481944367
76160,Referral,20161216,Chrome,desktop,FALSE,Macintosh,4.30E+18,New York,Americas,United States,New York NY,,New York,Northern America,4298610228737693968_1481907875,,10,,10,95980000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1481907875,20,1481907875
76255,Direct,20161216,Chrome,tablet,TRUE,Android,9.02E+18,,Americas,United States,,comcast.net,,Northern America,9020293433767026152_1481928888,,13,1,13,1990000,,,TRUE,,(none),,(direct),,,,,,1481928888,1,1481928888
76267,Paid Search,20161216,Chrome,desktop,FALSE,Macintosh,1.61E+17,,Americas,United States,,,,Northern America,160575523826516091_1481930505,,14,,12,16990000,,,,6qEhsCssdK0z36ri,cpc,,google,Google Search,CjwKEAiAvs7CBRC24rao6bGCoiASJABaCt5DtQOIWqFB3u6OWdzFL5fmZhRtj76tpyWOuOOzq0Kn_xoCFsbw_wcB,FALSE,1,Top,1481930505,2,1481930505
76275,Referral,20161216,Chrome,desktop,FALSE,Macintosh,1.91E+18,New York,Americas,United States,New York NY,,New York,Northern America,1912171696404614362_1481919206,,14,,14,69580000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1481919206,2,1481919206
76276,Direct,20161216,Chrome,desktop,FALSE,Windows,7.43E+17,,Americas,United States,,verizon.net,,Northern America,0742975179867188393_1481931251,,14,1,14,1990000,,,TRUE,,(none),,(direct),,,,,,1481931251,1,1481931251
76279,Direct,20161216,Chrome,desktop,FALSE,Macintosh,8.77E+18,,Americas,United States,,unknown.unknown,,Northern America,8771657580630576008_1481944193,,14,1,14,3980000,,,TRUE,,(none),,(direct),,,,,,1481944193,1,1481944193
76290,Referral,20161216,Chrome,desktop,FALSE,Linux,7.83E+18,New York,Americas,United States,New York NY,,New York,Northern America,7834618145872510794_1481918910,,15,,13,15190000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1481918910,2,1481918910
76297,Referral,20161216,Chrome,desktop,FALSE,Macintosh,2.43E+18,,Americas,United States,,,,Northern America,2432203658822493030_1481921913,,15,,13,19190000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1481921913,5,1481921913
76299,Direct,20161216,Safari (in-app),mobile,TRUE,iOS,1.76E+17,,Americas,United States,,,,Northern America,0175697895967494517_1481928277,,15,1,13,10970000,,,TRUE,,(none),,(direct),,,,,,1481928277,1,1481928277
76302,Direct,20161216,Firefox,desktop,FALSE,Linux,2.71E+15,,Americas,United States,,fuse.net,,Northern America,02709834583138581_1481929104,,15,1,15,1990000,,,TRUE,,(none),,(direct),,,,,,1481929104,1,1481929104
76310,Organic Search,20161216,Safari,mobile,TRUE,iOS,3.12E+18,,Americas,United States,,nordstrom.com,,Northern America,3119753230515283152_1481929830,,15,,13,18990000,,,,,organic,,google,,,,,,1481929830,3,1481929830
76314,Paid Search,20161216,Chrome,desktop,FALSE,Macintosh,4.23E+18,Boulder,Americas,United States,Denver CO,comcast.net,Colorado,Northern America,4233876642049714828_1481935757,,16,1,14,43990000,,,,6qEhsCssdK0z36ri,cpc,,google,Google Search,CMC0r_KA-tACFY61wAodAB4AeQ,FALSE,1,Top,1481935757,1,1481935757
76324,Direct,20161216,Chrome,desktop,FALSE,Macintosh,1.83E+18,,Americas,United States,,,,Northern America,1827094194524010860_1481928559,,16,1,16,13980000,,,TRUE,,(none),,(direct),,,,,,1481928559,1,1481928559
76344,Organic Search,20161216,Safari,mobile,TRUE,iOS,3.98E+18,,Americas,United States,,,,Northern America,3978536727138533271_1481934995,,17,,14,18990000,,,TRUE,,organic,,google,,,,,,1481934995,2,1481934995
76347,Referral,20161216,Chrome,desktop,FALSE,Linux,1.02E+17,Pittsburgh,Americas,United States,Pittsburgh PA,,Pennsylvania,Northern America,0102127042498450827_1481913181,,17,,16,15980000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1481913181,2,1481913181
76356,Direct,20161216,Android Webview,tablet,TRUE,Android,2.08E+18,,Americas,United States,,,,Northern America,2076798586652430197_1481951985,,18,1,18,22970000,,,TRUE,,(none),,(direct),,,,,,1481951985,1,1481951985
76359,Referral,20161216,Chrome,desktop,FALSE,Macintosh,7.28E+18,San Francisco,Americas,United States,San Francisco-Oakland-San Jose CA,comcast.net,California,Northern America,7281719665961519039_1481877720,,18,,14,79990000,,,TRUE,,referral,/,mall.googleplex.com,,,,,,1481877720,6,1481877720
76361,Organic Search,20161216,Chrome,desktop,FALSE,Windows,6.47E+17,,Americas,United States,,,,Northern America,647109355709882719_1481933457,,18,1,16,12990000,,,,,organic,,google,,,,,,1481933457,1,1481933457
76368,Paid Search,20161216,Chrome,mobile,TRUE,Android,3.19E+18,Mountain View,Americas,United States,San Francisco-Oakland-San Jose CA,comcast.net,California,Northern America,3191023303780419966_1481919079,,19,,17,37000000,,,,6qEhsCssdK0z36ri,cpc,,google,Google Search,CjwKEAiAvs7CBRC24rao6bGCoiASJABaCt5D4yiPLjYVc3X6RmyKf0AQ4v_9SKCDnLyWXOcKvrGHGBoCU-7w_wcB,FALSE,1,Top,1481919079,5,1481919079
76374,Direct,20161216,Chrome,mobile,TRUE,Android,3.27E+16,,Americas,United States,,,,Northern America,32658239211545930_1481934366,,19,1,19,3980000,,,TRUE,,(none),,(direct),,,,,,1481934366,1,1481934366
76377,Direct,20161216,Chrome,desktop,FALSE,Windows,9.12E+18,,Americas,United States,,unknown.unknown,,Northern America,9117420367534778573_1481902616,,19,,17,18990000,,,TRUE,,(none),,(direct),,,,,,1481902616,2,1481902616
76382,Referral,20161216,Chrome,desktop,FALSE,Macintosh,9.08E+18,San Francisco,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,9076855423971870982_1481918018,,20,1,17,11190000,,,,,referral,/,mall.googleplex.com,,,,,,1481918018,1,1481918018
76383,Direct,20161216,Chrome,mobile,TRUE,Android,9.31E+18,,Americas,United States,,comcast.net,,Northern America,9313739311793455748_1481927126,,20,1,16,3980000,,,TRUE,,(none),,(direct),,,,,,1481927126,1,1481927126
76387,Referral,20161216,Chrome,desktop,FALSE,Macintosh,7.75E+17,San Mateo,Americas,United States,San Francisco-Oakland-San Jose CA,,California,Northern America,0774541134631990830_1481900268,,20,1,18,47980000,,,,,referral,/,mall.googleplex.com,,,,,,1481900268,1,1481900268
76394,Organic Search,20161216,Safari,tablet,TRUE,iOS,8.99E+18,,Americas,United States,,cox.net,,Northern America,8993704269203931826_1481940204,,21,1,18,66980000,,,,,organic,,google,,,,,,1481940204,1,1481940204
76395,Direct,20161216,Chrome,desktop,FALSE,Windows,6.37E+18,,Europe,Finland,,ficolo.net,,Northern Europe,6366599753024688365_1481944300,,21,1,19,55990000,,,TRUE,,(none),,(direct),,,,,,1481944300,1,1481944300
